"Title","Link"
"Stellite coating deposited by directed energy deposition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096764449&doi=10.37904%2fmetal.2020.3559&partnerID=40&md5=9a1619c89d5ecb6b3716eb305c86a479"
"Heat-Resistant CCCM Coatings for Aerospace Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089063363&doi=10.1007%2fs11148-020-00441-z&partnerID=40&md5=3f2fc0a6548ebdc995e01478d7d39289"
"Laser Surface Texturing to Enhance CuNiIn Anti-Fretting Coating Adhesion on Ti6Al4V Alloy for Aerospace Application","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081931189&doi=10.1007%2fs40516-020-00114-2&partnerID=40&md5=dbb4d4f2b3b966e7a4327d2abacc7021"
"Effect of the addition of La2O3 on the properties of ZrO2-Al2O3 ceramic composites for coatings in aerospace turbines","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089343535&doi=10.5028%2fjatm.v12.1106&partnerID=40&md5=9e7a6c3e494833952d7dc079a91f0483"
"The effects of shot peening on the surface characteristics of 35NCD16 alloy steel","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091821033&doi=10.3311%2fPPME.13229&partnerID=40&md5=b9779fad54b0703f489acd99528031cc"
"Corrosion protection of metal alloys by laser cladding","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148550161&doi=10.1007%2f978-3-030-53195-9_7&partnerID=40&md5=f2fda8a21c856dd32874f478f355233c"
"Friction transitions and connections to third bodies for a Cd coating on steel substrate","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079825578&doi=10.1007%2fs40544-019-0333-z&partnerID=40&md5=c4fd999c653cc86f3608e1b8100a73c8"
"Graphene/polyelectrolyte layer-by-layer thin films for multifunctional coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084160796&partnerID=40&md5=b06ea59eadf8920d7bfa20f645da8132"
"Microstructure, mechanical and tribological properties of cold sprayed Ti6Al4V–CoCr composite coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091660313&doi=10.1016%2fj.compositesb.2020.108280&partnerID=40&md5=db14ae41327dfeb1e3f77651f80ad0ce"
"A review: drilling performance and hole quality of aluminium alloys for aerospace applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092470035&doi=10.1016%2fj.jmrt.2020.09.003&partnerID=40&md5=8f9431151529fbfc573c9b2b5340cc43"
"Electron-beam deposition of magneto-dielectric coatings in medium vacuum","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097598036&doi=10.1109%2fEFRE47760.2020.9242134&partnerID=40&md5=61eba1a6378de643e80d83bdadb18787"
"The correlation between structure, multifunctional properties and application of PVD MAX phase coatings. Part III. Multifunctional applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072100504&doi=10.1080%2f02670844.2019.1656861&partnerID=40&md5=58530abe75fbfea1414c435ae0dbb87e"
"Phosphate chemical conversion coatings for magnesium alloys: a review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082970312&doi=10.1007%2fs11998-020-00335-2&partnerID=40&md5=137793b8efb25912f11fca749c13b252"
"Challenges of coatings in aerospace, automobile and marine industries","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098892713&doi=10.1063%2f5.0033579&partnerID=40&md5=d0d0b7a5c400e1ecea357fd57dfddbbf"
"Handbook of Advanced Ceramics and Composites: Defense, Security, Aerospace and Energy Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119187064&doi=10.1007%2f978-3-030-16347-1&partnerID=40&md5=d466dd00ab71a405514435620ab4a1e9"
"Electroactive composites: PANI electrochemical synthesis with GO and rGO for structural carbon fiber coating","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073428315&doi=10.1016%2fj.porgcoat.2019.105399&partnerID=40&md5=f90b515d6b755180b9e9f27abcfdbce9"
"Preliminary assessment of electro-chemical machining for aluminum parts produced by laser-based powder bed fusion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095969444&doi=10.1520%2fSSMS20200039&partnerID=40&md5=71c163e95259dc6b27ff4da7541ceebd"
"Design of corrosion protective and antistatic hybrid sol-gel coatings on 6XXX AlMgSi alloys for aerospace application","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085517653&doi=10.3390%2fCOATINGS10050441&partnerID=40&md5=2a93d989adef951b802271ca9b8a377b"
"A simple superposition formulation to predict the underwater electric potential signature of naval vessels","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081730318&doi=10.3390%2fjmse8020105&partnerID=40&md5=18e486bb0f5e03fa24a5aed76f006315"
"Effects of chemically assisted magnetic abrasive finishing process parameters on material removal of inconel 625 tubes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092487783&doi=10.1016%2fj.promfg.2020.05.070&partnerID=40&md5=2d6538e01875c0e71a0e9441b29370fb"
"SEGMENTED THERMAL BARRIER COATING SOLUTIONS FOR TURBINE APPLICATIONS Segmented thermal barrier coatings (TBCs) exhibit enhanced thermal cyclic behavior and erosion resistance, along with improved application economics, over conventional TBCs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169688486&doi=10.31399%2fasm.amp.2020-08.p044&partnerID=40&md5=8f0ce996de521bb0bf1511f91476cd5b"
"Modelling of rotational multiple plain water jets for controlled removal of multi-material coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085057283&doi=10.1016%2fj.cirp.2020.04.108&partnerID=40&md5=aa3f256ab41be9b54ac7fea2ad2d1f05"
"Aerospace Alloys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000614820&doi=10.1007%2f978-3-030-24440-8&partnerID=40&md5=f918442a810d28f873aa37c7e3b62c52"
"Biological contamination of naval steel surface after non-thermal plasma treatment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099377248&doi=10.1117%2f12.2572205&partnerID=40&md5=b88198895f0f54e91c1429baeef206b8"
"Research Developments and Applications of Cold Spray Technology; [冷喷涂技术的研究进展与应用]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102595841&doi=10.11933%2fj.issn.1007-9289.20200824002&partnerID=40&md5=a9a8160bad190136a04dde707e4ae134"
"Chromate ion transport in epoxy films: Influence of BaSO4 particles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084952846&doi=10.1016%2fj.porgcoat.2020.105739&partnerID=40&md5=887d857c5633e673a5d4b2b08b1270d2"
"Heat-Resistant Coatings of ZrB2–MoSi2–SiC on Carbon-Carbon Composite Materials for Aerospace Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097012201&doi=10.1007%2fs11148-020-00502-3&partnerID=40&md5=40615b6afcda9dce90cf4d374969887c"
"Sol–gel-based coatings for oxidation protection of TiAl alloys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081064099&doi=10.1007%2fs10853-020-04466-0&partnerID=40&md5=9dd711b439d640b5829128760cd7fb1d"
"Scope of polymer/graphene nanocomposite in defense relevance: Defense application of polymer/graphene","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137854393&doi=10.4018%2f978-1-7998-5357-2.ch023&partnerID=40&md5=e5d8814b9a3dac598a2645426d0940f1"
"From concept to implementation: Anti-ice coating technology for the aerospace industry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098122540&partnerID=40&md5=a610f0e4d5eee36aa630b497ea968aea"
"Corrosion protection mechanism of 2-mercaptobenzothiazole and its potential synergistic effect with cerium ions for treatment of AA 2024-T3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081964593&doi=10.1016%2fj.jelechem.2020.114081&partnerID=40&md5=d71d7349c96b232135b7859f04070c8d"
"Smart machining: Monitoring of CFRP milling using AE and IR","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086722440&doi=10.1016%2fj.compstruct.2020.112611&partnerID=40&md5=62d953255d2d2d2e11ba09edc9ad65de"
"Improved Adhesion and Corrosion Resistant Performance of Polyurethane Coatings on Anodized Mg Alloy for Aerospace Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083519949&doi=10.1007%2fs11665-020-04747-4&partnerID=40&md5=74e65d35d80f987b7a11da64157a4a49"
"Joints with lockbolts in steel structures – Part 1: Lockbolt technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084635172&doi=10.1002%2fstco.202000011&partnerID=40&md5=3ebfaa4906f8e78e815a4b5020e32132"
"Study of the properties of qxide coatings formed on titanium by plasma electrolytic oxidation method","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083095057&doi=10.18321%2fectj930&partnerID=40&md5=4824531f4e716c3af720433a51ead33c"
"Processing of Ceramic and Cermet Composite Coatings for Strategic and Aerospace Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150111145&doi=10.1007%2f978-3-030-16347-1_51&partnerID=40&md5=e778b25582a777b774999d8fca893cb2"
"An investigation on burner rig testing of environmental barrier coatings for aerospace applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086363473&doi=10.1016%2fj.jeurceramsoc.2020.06.016&partnerID=40&md5=c40d8e2284bdd34bb64a79f0e3938446"
"Graphene oxide-Polymethyl methacrylate coatings for Corrosion protection of aerospace aluminium alloy 7075-T651 surfaces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092556888&doi=10.1088%2f2631-8695%2fabb4f3&partnerID=40&md5=b81c2c3dd77507d145d9f8b4d734b81b"
"Effect of thermal and surface chemical treatment on the cyclic oxidation behavior of 7039 aluminum alloy used in aerospace armor applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104008798&doi=10.1016%2fj.matpr.2020.09.547&partnerID=40&md5=9e1b0726daa17864ab56093e142bccc9"
"Rare earth metals utilization opportunities in the development of Indonesia defense industry technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085680619&doi=10.1088%2f1757-899X%2f850%2f1%2f012050&partnerID=40&md5=ad4f0b4741a308f32b55bcce78510356"
"Recent Progress on the Surface Modification and Protection of Magnesium Alloys; [镁合金表面改性与防护研究进展]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082830156&doi=10.7502%2fj.issn.1674-3962.201909012&partnerID=40&md5=b537223469b143f24c2e447b5f9fce9e"
"Application of graded-index thin film in laser attack and defense equipment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088513908&doi=10.1088%2f1742-6596%2f1507%2f10%2f102037&partnerID=40&md5=b1f26ff4268658e5f83ca6801b8a4d58"
"Dynamic modeling and trajectory measurement on vibratory finishing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075228525&doi=10.1007%2fs00170-019-04644-8&partnerID=40&md5=80befec44d0a77515900d077fee43fb1"
"On the surface integrity of additive manufactured and post-processed AlSi10Mg parts","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086578882&doi=10.1016%2fj.procir.2020.02.093&partnerID=40&md5=ebaa317f17fe2725da52bf429982680b"
"A review on magnetron sputter coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096441351&doi=10.1063%2f5.0018142&partnerID=40&md5=d2b10dcb6ce0fdc40e422a47f7fa89b8"
"Multifunctional Sol-Gel Nanocomposite Coatings for Aerospace, Energy, and Strategic Applications: Challenges and Perspectives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105247747&doi=10.1007%2f978-3-030-16347-1_49&partnerID=40&md5=9d10bd65b8d63592706b5b8b3610a90b"
"Hot corrosion behaviour of plasma sprayed YSZ and Gadolinium oxide doped YSZ thermal barrier coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096466752&doi=10.1016%2fj.matpr.2020.06.506&partnerID=40&md5=48d43f34a7991af8e93de25c0f74c984"
"Triple-coating surface waveguide for augmented reality to achieve large field-of-view","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082669790&doi=10.1117%2f12.2540141&partnerID=40&md5=1967d09d9fa96f6c86aae4219dd36305"
"Surface modification of staple carbon fiber by dopamine to reinforce natural latex composite","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085255106&doi=10.3390%2fPOLYM12040988&partnerID=40&md5=6155b55b9db9e49f4bb2e6c561ca6483"
"Review and prospect of refractory metal alloys and high temperature oxidation resistance coatings; [难熔金属合金及其高温抗氧化涂层研究现状与展望]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096680385&doi=10.11817%2fj.ysxb.1004.0609.2020-37623&partnerID=40&md5=e0a7b0e8fb20fcc674e876cde74b05ff"
"Evaluation of dlc coating for parts of weapons and military equipment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096776508&doi=10.37904%2fmetal.2020.3537&partnerID=40&md5=5d0ff564b1d4fe33443358ab1a90efa3"
"Effect of alternative paint stripping processes on the fatigue performance of aluminium alloys - atmospheric plasma de-painting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071863793&doi=10.1007%2f978-3-030-21503-3_47&partnerID=40&md5=e8a0e3c400212af10febe9e137b9d5bc"
"Surface modification and tribological behavior of plasma nitrided Inconel 718 manufactured via direct melting laser sintering method","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081007333&doi=10.1016%2fj.surfcoat.2020.125526&partnerID=40&md5=194480e935a94d9c7fa9e42c56c03df6"
"Progress in electrodeposition of zinc and zinc nickel alloys using ionic liquids","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089993756&doi=10.3390%2fAPP10155321&partnerID=40&md5=fec0b16d49523a9b3309b55f22f2bb78"
"Investigation on friction stud welded AMC/AISI 304 steel joints with ceramic intercoating","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091450795&doi=10.1007%2fs40430-020-02621-x&partnerID=40&md5=4452ab02ac9c9652e939bca7ebbf76c5"
"Ionizing radiation shielding properties of metal oxide impregnated conformal coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078428804&doi=10.1016%2fj.radphyschem.2020.108685&partnerID=40&md5=5381a7f69f3bb0c2409e926e4c81a37d"
"POSS-Based Fiber Carbon-Fiber Surface Treatment for Enhanced Durability of Composites","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085499170&doi=10.1007%2f978-3-030-30028-9_14&partnerID=40&md5=9a378e76c23004ef82775b7a697ca9bf"
"The effect of surface finishing and aluminium thin film coating on corrosion behaviour of AZ31 alloy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096512561&doi=10.1063%2f5.0017425&partnerID=40&md5=627c6e3162d11e3bfccc99abc57fb205"
"Solid coatings: Not just for space vehicles anymore","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097511723&partnerID=40&md5=27b5955f4f8ef7e9f06778c92a387739"
"Research on Interface Control and Bonding Strength of Thermal Spraying Ceramic Top-Coats and Metal Bond-Coats; [热喷涂陶瓷层与金属粘结层的界面调控及其强度研究]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099169222&doi=10.7502%2fj.issn.1674-3962.202004005&partnerID=40&md5=ed1848a046e2557b725dbf955b27732d"
"Research Progress in Refractory Metal Coatings; [含难熔金属涂层的研究进展]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090126239&doi=10.11896%2fcldb.19040229&partnerID=40&md5=b33028ee4c47f413cca4d5db86988451"
"Extreme learning machine and support vector regression wear loss predictions for magnesium alloys coated using various spray coating methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092251829&doi=10.1063%2f5.0004562&partnerID=40&md5=fc4122d71d461b0d5e1907ba4832497a"
"A review on anodizing of aerospace aluminum alloys for corrosion protection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096297424&doi=10.3390%2fcoatings10111106&partnerID=40&md5=f58f2ac6fd1af62308eaf28efa6cc8ce"
"Local thermal conductivity measurements to determine the fraction of α-cristobalite in thermally grown oxides for aerospace applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074355180&doi=10.1016%2fj.scriptamat.2019.10.027&partnerID=40&md5=85289a829c0691b65e7e3e1035c98066"
"Study of additive manufactured ti–al–si–cu/ti–6al–4v composite coating by direct laser metal deposition (dlmd) technique","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091270565&doi=10.1007%2f978-981-15-5753-8_46&partnerID=40&md5=bc4fbf1b19b348f50daa9e9ae08bef9c"
"Continuous measurement of aerospace coating degradation due to environmental and mechanical stressors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090508910&partnerID=40&md5=e572e1ae2847067cf1b09d22a128c49e"
"Synthesis of non-isocyanate polyurethanes and their application in radiation-curable aerospace coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073943264&doi=10.1016%2fj.porgcoat.2019.105394&partnerID=40&md5=af62b65f56d1829c33862d0575bbaea0"
"Fabrication and characterization of layered UHMWPE coatings on aerospace-grade epoxy resin for space radiation shielding","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100926177&partnerID=40&md5=fedde3032843beaea4aee2bcc5df2763"
"Correction to: Fabrication and Oxidation Resistance of TiAl Matrix Coatings Reinforced with Silicide Precipitates Produced by Heat Treatment of Warm Sprayed Coatings (Journal of Thermal Spray Technology, (2018), 27, 7, (1165-1176), 10.1007/s11666-018-0751-x)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094669095&doi=10.1007%2fs11666-020-01115-5&partnerID=40&md5=a98ce8eb87d63909027a09cb1ee7f3ef"
"Responsive Colloidosomes with Triple Function for Anticorrosion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091192020&doi=10.1021%2facsami.0c11866&partnerID=40&md5=d769c4dedcc097c8e9d02077d3a67a21"
"Study on Radiation Characteristics of Composite Coatings Containing Flake Metallic Particles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088015674&partnerID=40&md5=f3b000cd426448c77a1eb316551f08bc"
"On the metal thermoplastic composite interface of Ti alloy/UHMWPE-Elium® laminates","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074655980&doi=10.1016%2fj.compositesb.2019.107578&partnerID=40&md5=2788d37604cdff49889a6daf04e0e53a"
"Performance of corrosion protective epoxy blend-based nanocomposite coatings: a review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074858191&doi=10.1080%2f25740881.2019.1673410&partnerID=40&md5=a31fba6b7a0240fadf33ccb4c47bb8e4"
"Understanding the dynamic growth environment of silicon dioxide in atmospheric pressure plasma using multiphysics modeling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093981528&doi=10.1016%2fj.surfin.2020.100739&partnerID=40&md5=09225506ef00cbd1fa8f771a37fea267"
"Coating density as the key factor behind hydrogen embrittlement of cadmium-plated 4340 steel","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088869459&doi=10.1007%2fs10800-020-01458-5&partnerID=40&md5=73cfcc8bb9cf287c38537df20e69b0ae"
"Superhydrophobic Antireflection Coating on Glass Using Grass-like Alumina and Fluoropolymer","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095666375&doi=10.1021%2facsami.0c12465&partnerID=40&md5=2e60b68da17f10d7a8458b5bec53a732"
"Experimental investigation and analysis of corrosion inhibition of titanium modified by chitosan silver nanomaterials and its applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102446625&doi=10.1016%2fj.matpr.2020.08.647&partnerID=40&md5=c3af712ab2b8c7ab0d7b604a7ba710c0"
"Rubber toughened epoxy-based nanocomposite: a promising pathway toward advanced materials","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084340265&doi=10.1080%2f10601325.2020.1730190&partnerID=40&md5=98f2ffd92b792066b2500b067e095d32"
"Predictive Modeling of Surface Roughness in the Machining of Inconel 625 Using Artificial Neural Network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090711257&doi=10.1007%2f978-981-15-4485-9_3&partnerID=40&md5=539d7283fb5945bb1393e1c6d60f10b3"
"The effect of exposure conditions on performance evaluation of post-treated anodic oxides on an aerospace aluminium alloy: Comparison between salt spray and immersion testing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087592055&doi=10.1016%2fj.surfcoat.2020.126157&partnerID=40&md5=0be8b9a349bb525bc49396ac90ae015e"
"In-situ simultaneous surface finishing using abrasive flow machining via novel fixture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077086015&doi=10.1016%2fj.jmapro.2019.12.051&partnerID=40&md5=439eccf551be6736b1cd936e7daac743"
"Simple synthesis of the composite coating and the lubrication mechanisms of the spherical SnAgCu–Al2O3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095709001&doi=10.1016%2fj.wear.2020.203514&partnerID=40&md5=651b9b6d96ee81f84bc129e9f4c1dd43"
"Adhesion of PVD coatings on surface of small arm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099241103&doi=10.1149%2f09901.0265ecst&partnerID=40&md5=c29ab1f2f350ca56eb5e3091eadc5558"
"Revealing key topics shifts in thermal barrier coatings (TBC) as indicators of technological developments for aerospace engines","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089498957&doi=10.1007%2fs11192-020-03667-3&partnerID=40&md5=f989999e305177eabf81de232a6d16ef"
"General Situation of Solid Lubricant Coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087815648&doi=10.1088%2f1755-1315%2f508%2f1%2f012219&partnerID=40&md5=f4d2670bb129321fa6bdc464d28722cc"
"A study to analysis of corrosion rate of uncoated and coated WC- Co- Cr naval brass materials","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098557254&doi=10.1016%2fj.matpr.2020.08.353&partnerID=40&md5=8fbe94a26ba6d552287deaa611ee857b"
"Controllable tuning of energetic crystals by bioinspired polydopamine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104659075&doi=10.1016%2fj.enmf.2020.09.002&partnerID=40&md5=749e7d6adb41082287fd164366abcab1"
"Thermal shock resistance behaviour of multilayered Gd2O3 doped YSZ on Inconel-718 substrate","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096507515&doi=10.1016%2fj.matpr.2020.07.046&partnerID=40&md5=e9b507197d83adbae257c15bb3431440"
"Effect of heat resistant coating on the drilled hole quality of hybrid fiber reinforced epoxy composite","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099053612&doi=10.5109%2f4150472&partnerID=40&md5=f9509b4bab43e478afe3dac247a8195d"
"Evaluating methods for quality of laser shock processing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072613671&doi=10.1016%2fj.ijleo.2019.162940&partnerID=40&md5=dac57405f1e197b015f2ecba634c8dc0"
"One-step fabrication of thermal sprayed polymer coating on metals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081954905&doi=10.1088%2f2053-1591%2fab6a4f&partnerID=40&md5=3f07983eefdc2be672e113fa1a57abb0"
"Robust corrosion resistance and self-healing characteristics of a novel Ce / Mn conversion coatings on EV31 magnesium alloys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078087653&doi=10.1016%2fj.apsusc.2020.145385&partnerID=40&md5=6fdf50687ae2bfd580acdb34eee49253"
"Towards improved electroplating of metal-particle composite coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097552928&doi=10.1080%2f00202967.2020.1819022&partnerID=40&md5=5844e5ac141f197fe66469e546bdd57f"
"Phosphate porous coatings enriched with selected elements via PEO treatment on titanium and its alloys: A review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086627494&doi=10.3390%2fMA13112468&partnerID=40&md5=6b08927c5266d3908b8cdc09da923371"
"Microstructural and ablative properties of graphite nozzles with SiC coating deposited by CVD technique","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081714321&doi=10.1088%2f2053-1591%2fab6c87&partnerID=40&md5=a932465b403e38bdf625d7a2ad628eb0"
"Polymer-Derived Ceramics and Their Space Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150135035&doi=10.1007%2f978-3-030-16347-1_31&partnerID=40&md5=2203a7d0b3c186e5056465f3e7edb813"
"Experimental Research on Abrasive Water Jet Drilling of APS Ceramic Thermal Barrier Coating; [磨料水射流去除等离子喷涂法热障涂层的试验研究]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095820304&doi=10.16356%2fj.1005-2615.2020.05.016&partnerID=40&md5=866a362b6e2cab81fc8973dbdeefea65"
